Company,"Primary Industry, Country"
Gilead Sciences Inc.,"Pharmaceuticals, United States"
LyondellBasell Industries NV,"Chemicals, Netherlands"
Magna International Inc.,"Motor Vehicle Parts, Canada"
Nike Inc.,"Apparel, United States"
Mitsubishi Chemical Holdings Corp.,"Chemicals, Japan"
Bridgestone Corp.,"Rubber Products, Japan"
General Dynamics Corp.,"Railcars, Ships, & Other Trans. Equip., United States"
ConocoPhillips,"Petroleum & Coal Products, United States"
Quanta Computer Inc.,"Computers & Other Electronic Products, Taiwan Province of China"
Hyundai Mobis Co. Ltd.,"Miscellaneous, Korea"
3M Co.,"Chemicals, United States"
Fresenius SE,"Medical Instruments & Equipment, Germany"
Idemitsu Kosan Co. Ltd.,"Petroleum & Coal Products, Japan"
Mondelez International Inc.,"Food, United States"
Canon Inc.,"Computers & Other Electronic Products, Japan"
Twenty-First Century Fox Inc.,"Publishing & Printing, United States"
Schneider Electric SE,"Electrical Equipment & Appliances, France"
Tesoro Corp.,"Petroleum & Coal Products, United States"
L.M. Ericsson Telephone Co.,"Communications Equipment, Sweden"
Jiangxi Copper Co. Ltd.,"Primary Metals, China"
JFE Holdings Inc.,"Fabricated Metal Products, Japan"
Mazda Motor Corp.,"Motor Vehicles, Japan"
Deere & Co.,"Machinery, United States"
L'Oreal SA,"Chemicals, France"
Enterprise Products Partners LP,"Petroleum & Coal Products, United States"
Fuji Heavy Industries Ltd.,"Motor Vehicles, Japan"
Aisin Seiki Co. Ltd.,"Motor Vehicle Parts, Japan"
Suzuki Motor Corp.,"Motor Vehicles, Japan"
CNOOC Ltd.,"Petroleum & Coal Products, Hong Kong Special Administrative Region of China"
Royal Philips Electronics NV,"Computers & Other Electronic Products, Netherlands"
CNH Industrial NV,"Machinery, United Kingdom"
Compal Electronics Inc.,"Computers & Other Electronic Products, Taiwan Province of China"
CRH PLC,"Stone, Clay, Glass & Concrete Products, Ireland"
Taiwan Semiconductor Mfg. Co. Ltd.,"Computers & Other Electronic Products, Taiwan Province of China"
Vale SA,"Primary Metals, Brazil"
Altria Group Inc.,"Tobacco, United States"
Qualcomm Inc.,"Communications Equipment, United States"
Baoshan Iron & Steel Co. Ltd.,"Fabricated Metal Products, China"
Du Pont & Co.,"Chemicals, United States"
BAE Systems PLC,"Aerospace & Defense, United Kingdom"
AstraZeneca PLC,"Pharmaceuticals, United Kingdom"
OMV AG,"Petroleum & Coal Products, Austria"
Groupe Danone,"Food, France"
Flextronics International Ltd.,"Computers & Other Electronic Products, Singapore"
